season,date,game_pk,pitcher_id,lineup_ids,actual_k,exp_k,p_k_≥6.5
2024,2024-04-03,746083,663776,"694384,543305,545361,621493,592273,593934,681351,666160,687263",7,5.0935,0.247
2024,2024-04-03,746083,640462,"681146,605137,669394,650559,665862,624503,541645,660644,663743",5,5.0295,0.243
2024,2024-04-03,746008,663978,"622534,668885,621439,596146,621043,467793,650489,680777,571657",2,4.9905,0.2385
2024,2024-04-03,746008,605452,"694192,661388,592885,642715,656555,655316,596142,686554,668930",3,5.0615,0.25
2024,2024-04-03,745678,601713,"680776,646240,596115,671213,807799,678882,665839,624512,677800",3,5.161,0.273
2024,2024-04-03,745678,548389,"676116,680869,668709,687231,664913,667670,669127,671732,647351",3,5.09,0.246
2024,2024-04-03,747219,607074,"650402,665742,592450,519203,683011,657077,665828,669224,542932",3,4.9925,0.248
2024,2024-04-03,747219,518876,"606466,682998,666971,572233,553993,607054,678489,672515,543518",4,5.0455,0.236
2024,2024-04-03,745603,593423,"663697,666181,687952,669289,656413,682829,669352,605361,663886",5,5.033,0.245
2024,2024-04-03,745603,554430,"656941,607208,547180,592663,681082,592206,669016,593160,664761",10,4.984,0.255
2024,2024-04-03,745275,671106,"680757,681807,608070,647304,686823,666310,672356,664314,677587",6,5.071,0.2665
2024,2024-04-03,745275,669923,"670042,677594,593871,686527,641598,664034,664238,649966,664874",2,5.087,0.2665
2024,2024-04-03,745440,668868,"672279,502671,575929,571448,669357,671056,691026,676475,687363",5,5.006,0.2415
2024,2024-04-03,745440,605397,"593428,665487,630105,592518,673490,595777,642180,701538,543309",7,5.117,0.264
2024,2024-04-03,744869,656605,"665833,668804,663647,669261,457705,642133,680779,669707,572191",5,5.0555,0.253
2024,2024-04-03,744869,592866,"682928,657041,608841,608336,660688,592696,702358,671277,545121",5,5.032,0.2535
2024,2024-04-03,746900,615698,"453568,678662,641857,592178,666134,669911,686668,663898,607732",3,5.094,0.263
2024,2024-04-03,746900,681432,"664023,673548,641355,663611,621020,683737,663538,643565,543228",1,5.093,0.259
2024,2024-04-03,746407,605135,"543807,676391,676914,596129,662139,661531,595281,643396,624415",3,5.085,0.246
2024,2024-04-03,746407,664299,"514888,670541,676694,666197,673237,572138,676801,665161,643289",3,5.0535,0.2565
2024,2024-04-03,746163,690986,"808982,664774,624585,624424,656305,642731,573262,672275,605113",4,5.03,0.2485
2024,2024-04-03,746163,607192,"605141,660271,518692,669257,606192,571970,571771,621035,500743",7,5.0365,0.2525
2024,2024-04-04,745844,663554,"592192,679529,628451,682985,663837,690993,608348,570482,656716",4,5.0375,0.2525
