game_pk,date,season,side,pitcher_id,k_actual,lineup_ids
746003,2024-04-07,2024,away,676106,6,"641487,669392,593871,649966,670042,664238,668942,686527,664874"
746003,2024-04-07,2024,home,607067,3,"687401,661388,642715,641343,596142,686217,694192,655316,663368"
745198,2024-04-07,2024,away,676974,3,"650333,656896,669394,660644,660821,641313,650559,624503,542194"
745198,2024-04-07,2024,home,502043,5,"680977,686780,672279,671056,669357,691023,676475,691026,687363"
746895,2024-04-07,2024,away,694813,5,"605141,660271,666211,669257,681546,571771,621035,666158,500743"
746895,2024-04-07,2024,home,684007,3,"664023,673548,641355,666624,621020,683737,663538,643565,665804"
746574,2024-04-07,2024,away,686752,11,"650490,664040,642708,670623,680700,676609,668853,642350,666163"
746574,2024-04-07,2024,home,641712,4,"663898,678662,641857,592178,666134,669911,686668,595909,553869"
745362,2024-04-07,2024,away,663362,5,"593428,665487,630105,592518,673490,688363,642180,701538,669134"
745362,2024-04-07,2024,home,657277,3,"808982,666149,624585,624424,656305,642731,596103,672275,605113"
746251,2024-04-07,2024,away,656557,7,"680776,666915,641933,671213,807799,665839,678882,624512,666152"
746251,2024-04-07,2024,home,681217,7,"543685,694384,545361,621493,592273,593934,642136,666176,650859"
