game_pk,date,season,side,pitcher_id,k_actual,lineup_ids,exp_ks,p_over,p10,p90
744875,2024-04-01,2024,away,594835,2,"642133,668804,663647,457705,669261,680779,665833,572191,675961",4.77205,0.0,2.0,7.0
744875,2024-04-01,2024,home,669022,6,"682928,657041,608841,660688,592696,702358,545121,656180,645302",4.8368,0.0,2.0,7.0
747058,2024-04-01,2024,away,608379,5,"672580,677951,641658,521692,669004,592669,679845,676369,680118",4.86325,0.0,2.0,7.0
747058,2024-04-01,2024,home,665152,5,"683002,668939,623993,663624,681297,669720,656775,676059,602104",4.83975,0.0,2.0,7.0
745600,2024-04-01,2024,away,671096,4,"663697,663886,687952,600869,669289,682829,656413,669352,666181",4.8676,0.0,3.0,7.0
745600,2024-04-01,2024,home,650911,8,"679032,607208,547180,592663,664761,592206,681082,593160,669016",4.8272,0.0,2.0,7.0
746085,2024-04-01,2024,away,681217,5,"543685,694384,545361,621493,592273,543305,681351,666176,687263",4.8037,0.0,2.0,7.0
746085,2024-04-01,2024,home,676974,4,"650333,605137,669394,665862,650559,660821,641313,624503,663743",4.79,0.0,2.0,7.0
745109,2024-04-01,2024,away,641540,7,"543760,608369,694497,666969,669701,694671,665120,641680,608671",4.8421,0.0,2.0,7.0
745109,2024-04-01,2024,home,686752,3,"650490,664040,668227,642708,680700,678554,642350,668853,650907",4.8673,0.0,2.0,7.0
745842,2024-04-01,2024,away,681857,3,"656716,681481,679529,682985,678009,690993,570482,595879,608348",4.8506,0.0,2.0,7.0
745842,2024-04-01,2024,home,640455,8,"607043,596019,624413,682626,621466,516782,670097,643446,621563",4.79195,0.0,2.0,7.0
746409,2024-04-01,2024,away,670102,7,"543807,665489,676914,662139,672386,676391,595281,643396,624415",4.811,0.0,2.0,7.0
746409,2024-04-01,2024,home,669854,7,"643289,666197,663656,608324,673237,547989,676801,665161,676694",4.78435,0.0,2.0,7.0
745675,2024-04-01,2024,away,656557,10,"680776,646240,596115,666915,677800,807799,665839,678882,624512",4.78005,0.0,2.0,7.0
745675,2024-04-01,2024,home,671212,4,"676116,663527,680869,664913,667670,647351,668832,671732,687231",4.8285,0.0,2.0,7.0
745277,2024-04-01,2024,away,663474,2,"680757,665926,608070,647304,671289,664314,657656,666310,677587",4.79905,0.0,2.0,7.0
745277,2024-04-01,2024,home,676106,1,"641487,677594,593871,571745,641598,663728,664034,686527,649966",4.80435,0.0,2.0,7.0
745437,2024-04-01,2024,away,502043,4,"680977,502671,669357,571448,575929,572761,672279,687363,691026",4.79425,0.0,2.0,7.0
745437,2024-04-01,2024,home,663362,7,"593428,665487,630105,592518,673490,595777,669134,666703,701538",4.7696,0.0,2.0,7.0
747218,2024-04-01,2024,away,661563,6,"650402,665742,592450,519203,519317,657077,683011,669224,665828",4.78625,0.0,2.0,7.0
747218,2024-04-01,2024,home,669194,2,"606466,682998,666971,572233,592626,553993,672515,678489,672695",4.86295,0.0,2.0,7.0
746170,2024-04-01,2024,away,676775,6,"808982,664774,624585,656305,527038,608596,624424,642731,573262",4.7744,0.0,2.0,7.0
746170,2024-04-01,2024,home,572020,5,"605141,660271,518692,669257,571970,606192,681546,621035,666158",4.78895,0.0,2.0,7.0
746009,2024-04-02,2024,away,686973,4,"571657,666135,621439,596146,668885,622534,467793,650489,543877",4.8504,0.0,2.0,7.0
746009,2024-04-02,2024,home,596001,4,"686217,661388,592885,642715,641343,656555,686554,668930,694192",4.8631,0.0,2.0,7.0
747057,2024-04-02,2024,away,679525,5,"672580,677951,686469,521692,624428,592669,641658,666023,664728",4.772,0.0,2.0,7.0
747057,2024-04-02,2024,home,608344,3,"683002,668939,623993,663624,656811,656775,676059,681297,643393",4.78635,0.0,2.0,7.0
745598,2024-04-02,2024,away,668933,5,"663697,666181,687952,600869,641584,682829,668715,605361,663886",4.8585,0.0,2.0,7.0
745598,2024-04-02,2024,home,605513,7,"656941,607208,547180,664761,681082,592206,669016,679032,596117",4.7787,0.0,2.0,7.0
746086,2024-04-02,2024,away,542881,5,"543685,543305,545361,621493,592273,593934,694384,681351,687263",4.84805,0.0,2.0,7.0
746086,2024-04-02,2024,home,666200,5,"650333,605137,669394,650559,665862,641313,660821,681146,663743",4.8354,0.0,2.0,7.0
745111,2024-04-02,2024,away,571760,7,"543760,608369,694497,666969,694671,665120,641680,677649,665750",4.82035,0.0,2.0,7.0
745111,2024-04-02,2024,home,621107,5,"650490,623912,668227,670623,642708,678554,642350,676609,650907",4.8212,0.0,2.0,7.0
746898,2024-04-02,2024,away,607536,2,"453568,663898,666134,592178,676701,553869,678662,669911,686668",4.8371,0.0,2.0,7.0
746898,2024-04-02,2024,home,665871,5,"663538,673548,643565,666624,670156,683737,643265,663611,665804",4.8039,0.0,2.0,7.0
746814,2024-04-02,2024,away,625643,5,"660670,645277,663586,621566,542303,594807,671739,606115,518595",4.7902,0.0,2.0,7.0
746814,2024-04-02,2024,home,676979,8,"643217,660162,673357,657757,683734,657557,607680,670032,455117",4.84585,0.0,2.0,7.0
746411,2024-04-02,2024,away,621244,2,"543807,665489,666182,662139,643338,672386,676391,643396,595281",4.9097,0.0,3.0,7.0
746411,2024-04-02,2024,home,664285,5,"514888,670541,663656,608324,676694,547989,676801,665161,605170",4.8301,0.0,2.0,7.0
745680,2024-04-02,2024,away,678394,6,"624512,641933,646240,596115,665839,671213,678882,677800,670174",4.82405,0.0,2.0,7.0
745680,2024-04-02,2024,home,622072,7,"676116,680869,668709,605204,664913,667670,669127,671732,687231",4.794,0.0,2.0,7.0
745273,2024-04-02,2024,away,669456,9,"680757,665926,608070,647304,671289,686823,666310,595978,677587",4.79735,0.0,2.0,7.0
745273,2024-04-02,2024,home,622491,7,"641487,677594,593871,571745,641598,663728,664034,686527,668942",4.85095,0.0,2.0,7.0
745439,2024-04-02,2024,away,571945,4,"680977,502671,575929,571448,671056,669357,687363,672279,691026",4.8652,0.0,3.0,7.0
745439,2024-04-02,2024,home,506433,6,"593428,665487,630105,592518,673490,595777,669134,642180,701538",4.84675,0.0,2.0,7.0
747220,2024-04-02,2024,away,641482,2,"650402,665742,592450,519203,519317,657077,683011,665828,669224",4.79885,0.0,2.0,7.0
747220,2024-04-02,2024,home,668678,6,"686826,607054,666971,572233,553993,672515,678489,664983,672695",4.80475,0.0,2.0,7.0
746169,2024-04-02,2024,away,657277,5,"808982,656305,666149,624424,527038,642731,664774,672275,605113",4.84775,0.0,2.0,7.0
746169,2024-04-02,2024,home,518489,1,"605141,660271,518692,669257,571970,606192,681546,500743,571771",4.83665,0.0,2.0,7.0
747059,2024-04-03,2024,away,666142,7,"672580,677951,686469,521692,641658,592669,624428,666023,664728",4.82265,0.0,2.0,7.0
747059,2024-04-03,2024,home,669203,3,"683002,668939,663624,656775,676059,669720,681297,543510,602104",4.82065,0.0,2.0,7.0
745114,2024-04-03,2024,away,543135,8,"543760,608369,608671,666969,665120,669701,677649,641680,665750",4.84185,0.0,2.0,7.0
745114,2024-04-03,2024,home,650644,8,"650490,650907,668227,670623,680700,623912,676609,678554,642350",4.85195,0.0,2.0,7.0
746083,2024-04-03,2024,away,663776,7,"694384,543305,545361,621493,592273,593934,681351,666160,687263",4.79755,0.0,2.0,7.0
746083,2024-04-03,2024,home,640462,5,"681146,605137,669394,650559,665862,624503,541645,660644,663743",4.78995,0.0,2.0,7.0
746008,2024-04-03,2024,away,663978,2,"622534,668885,621439,596146,621043,467793,650489,680777,571657",4.85565,0.0,2.0,7.0
746008,2024-04-03,2024,home,605452,3,"694192,661388,592885,642715,656555,655316,596142,686554,668930",4.8572,0.0,2.0,7.0
745678,2024-04-03,2024,away,601713,3,"680776,646240,596115,671213,807799,678882,665839,624512,677800",4.84515,0.0,2.0,7.0
745678,2024-04-03,2024,home,548389,3,"676116,680869,668709,687231,664913,667670,669127,671732,647351",4.80855,0.0,2.0,7.0
747219,2024-04-03,2024,away,607074,3,"650402,665742,592450,519203,683011,657077,665828,669224,542932",4.82865,0.0,2.0,7.0
747219,2024-04-03,2024,home,518876,4,"606466,682998,666971,572233,553993,607054,678489,672515,543518",4.8574,0.0,2.0,7.0
745603,2024-04-03,2024,away,593423,5,"663697,666181,687952,669289,656413,682829,669352,605361,663886",4.83485,0.0,2.0,7.0
745603,2024-04-03,2024,home,554430,10,"656941,607208,547180,592663,681082,592206,669016,593160,664761",4.829,0.0,2.0,7.0
745275,2024-04-03,2024,away,671106,6,"680757,681807,608070,647304,686823,666310,672356,664314,677587",4.85005,0.0,3.0,7.0
745275,2024-04-03,2024,home,669923,2,"670042,677594,593871,686527,641598,664034,664238,649966,664874",4.84435,0.0,2.0,7.0
745440,2024-04-03,2024,away,668868,5,"672279,502671,575929,571448,669357,671056,691026,676475,687363",4.78835,0.0,2.0,7.0
745440,2024-04-03,2024,home,605397,7,"593428,665487,630105,592518,673490,595777,642180,701538,543309",4.77605,0.0,2.0,7.0
